Depth,DepthTo,HorizonNum,Matrix,Mottle_1,Humose,Roots,BoundaryDistinct_Text,BoundaryDistinct_Percent,BoundaryDistinct,Total_Nitrogen,pH_H2O,Exchangeable_K,Exchangeable_Mg,BaseSaturation,TextureClass,series_id,BoundaryShape_Text,BoundaryShape_Description,StoneAbundance_Text,StoneAbundance_Percent,StoneAbundance,StoneSize_Text,StoneSize_Description,StoneSize,OrganicCarbon,CEC,Exchangeable_Ca,StoneShape_Text,StructureType_Text,Sand,Silt,Clay,Plasticity_Text,Plasticity_Description,StructureGrade_Text,StructureSize_Text,StructureSize_Percent,StructureSize,RootSize_Description,RootSize_Text,RootSize,RootAbundance_Text,RootAbundance_NumPer100,RootAbundance,CaCO3_Percent,CaCO3_Text,Stickiness_Text,Stickiness_Description,StructureStrength_Text,StructureStrength_Description,PackingDensity_Text,PackingDensity_Percent,PackingDensity,Total_Carbon,LossOnIgnition,Exchangeable_Na,StoneType_Text,MottleAbundanceText1,MottleAbundancePercent1,MottleAbundance1,MottleSharpnessText1,MottleSharpnessPercent1,MottleSharpness1,MottleSizeText1,MottleSizePercent1,MottleSize1,MottleContrast1,Texture,MottleSizeText2,MottleSizePercent2,MottleSize2,MottleAbundanceText2,MottleAbundancePercent2,MottleAbundance2,MottleSharpnessText2,MottleSharpnessPercent2,MottleSharpness2,MottleContrast2
0,9.0,1,5YR32,,0,0,Clear,2-5 cm,C 2-5 cm,1.2000000476837,3.0999999046326,14.0,276.0,0.0,,0110AE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,26.0,2,5YR34,,0,0,Abrupt,0-2 cm,A 0-2 cm,1.1599999666214,3.0999999046326,,,0.0,,0110AE,Wavy,Pockets less deep than wide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,59.0,3,5YR32,,0,0,Abrupt,0-2 cm,A 0-2 cm,0.81999999284744,3.5,26.0,403.0,0.0,,0110AE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,107.0,4,5YR252,,0,0,,,,0.5,3.5,20.0,498.0,0.0,,0110AE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,130.0,5,5YR252,,0,0,,,,0.80000001192093,3.7000000476837,13.0,208.0,0.0,,0110AE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,25.0,1,5YR251,,0,0,Clear,2-5 cm,C 2-5 cm,,3.5999999046326,,,0.0,,0110AT,Smooth,Nearly plane surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,80.0,2,5YR32,,0,0,,,,,3.5,,,0.0,,0110AT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,150.0,3,5YR32,,0,0,Abrupt,0-2 cm,A 0-2 cm,,3.7999999523163,,,0.0,,0110AT,Smooth,Nearly plane surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,20.0,1,5yr21,,0,0,Gradual,5-15 cm,G 5-15 cm,1.7799999713898,3.7999999523163,0.72000002861023,2.6800000667572,8.0,,0110KM,Smooth,Nearly plane surface,Many,15-40 %,M 15-40 %,20-60 cm,Boulders,B 20-60 cm,35.200000762939,116.0,5.3600001335144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,25.0,2,5YR31,,0,0,,,,2.0,3.7000000476837,0.54000002145767,3.1199998855591,6.0,,0110KM,Smooth,Nearly plane surface,,,,,,,32.200000762939,136.0,3.4000000953674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,45.0,3,5yr21,,0,0,Gradual,5-15 cm,G 5-15 cm,1.7400000095367,3.7999999523163,0.21999999880791,1.7999999523163,8.0,,0110KM,Wavy,Pockets less deep than wide,,,,,,,35.0,64.0,2.5599999427795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,65.0,4,25yr21,,0,0,Clear,2-5 cm,C 2-5 cm,1.4800000190735,3.7999999523163,0.059999998658895,3.039999961853,7.0,,0110KM,Smooth,Nearly plane surface,,,,,,,33.200000762939,86.400001525879,2.1600000858307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,75.0,5,25yr21,,0,0,,,,1.3600000143051,3.7999999523163,0.03999999910593,5.7199997901917,10.0,,0110KM,Wavy,Pockets less deep than wide,,,,,,,34.400001525879,90.0,2.2000000476837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,95.0,6,5YR62,,0,0,Clear,2-5 cm,C 2-5 cm,,4.0999999046326,0.0099999997764826,0.12999999523163,7.0,,0110KM,Wavy,Pockets less deep than wide,Many,15-40 %,M 15-40 %,20-60 cm,Boulders,B 20-60 cm,0.10000000149012,2.4000000953674,0.0,Angular,Massive ,59.0,32.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,160.0,7,25YR52,,0,0,Clear,2-5 cm,C 2-5 cm,,4.0999999046326,0.0099999997764826,0.050000000745058,1.0,,0110KM,Irregular,Pockets more deep than wide,Many,15-40 %,M 15-40 %,20-60 cm,Boulders,B 20-60 cm,0.5,10.800000190735,0.0,Angular,Massive ,61.0,28.0,11.0,Slightly plastic,Wire formable but breaks immediately if bent into a ring; deformation by slight force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,170.0,8,75yr55,,0,0,,,,0.059999998658895,4.1999998092651,0.019999999552965,0.03999999910593,1.0,,0110KM,Irregular,Pockets more deep than wide,,,,,,,1.2000000476837,20.39999961853,0.0,,Sub-angular blocky,62.0,30.0,8.0,Slightly plastic,Wire formable but breaks immediately if bent into a ring; deformation by slight force,Weak,Fine,5-10mm,FI 5-10mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,220.0,9,,,0,0,,,,0.5799999833107,4.4000000953674,0.090000003576279,0.79000002145767,10.0,,0110KM,,,,,,,,,10.300000190735,31.200000762939,1.8200000524521,,,40.0,25.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,,10,75yr43,,0,0,,,,,4.5,0.0099999997764826,0.0099999997764826,1.0,,0110KM,,,Many,15-40 %,M 15-40 %,20-60 cm,Boulders,B 20-60 cm,0.20000000298023,3.0,0.0,,Massive ,73.0,19.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22.0,1,10YR22,None,1,1,Clear,2-5 cm,C 2-5 cm,1.0533000230789,5.2230000495911,0.21649254858494,1.1576248407364,97.0,Loam/Sandy Loam,0170ATD,Smooth,Nearly plane surface,,,,,,,15.5,17.392152786255,15.084225654602,,Crumbly,52.0,33.0,15.0,Plastic,Wire formable but breaks if bent into a ring; deformation by slight to moderate force,Weak,,,,Fine,0.5-2 mm,F 0.5-2 mm,Many,> 200,M > 200,0,No reaction,Sticky,"Soil material adheres to thumb and finger after release of pressure, and tends to stretch and pull apart rather than coming away from each digit",Weak,Aggregates barely visible in situ and only weak arrangement of natural surfaces that break when gently disturbed.,Very Low,< 1.20 t m-3,VL < 1.20 t m-3,17.03330039978,29.230400085449,0.38805001974106,,,,,,,,,,,,,,,,,,,,,,
