National_Series_Id,National_Series,Red_Value,Green_Value,Blue_Value,Live
0110AE,Allen,112,107,102,LIVE
0110AEC,Allen Cutover,112,107,102,DEAD
0110AT,Aughty,112,107,102,LIVE
0110ATE,Aughty eroded phase,112,107,102,DEAD
0110ATH,Aughty shallow phase,112,107,102,DEAD
0110ATL,Aughty slumping phase,112,107,102,DEAD
0110GW,Gweesalia,112,107,102,DEAD
0110GY,Glenamoy,112,107,102,DEAD
0110KM,Knockmealdown,112,107,102,LIVE
0110OW,Owenmore,112,107,102,DEAD
0110OWR,Owenmore Rocky Phase,112,107,102,DEAD
0110OWV,Owenmore Very Rocky Phase,112,107,102,DEAD
0110RH,Raheen,112,107,102,DEAD
0110S10,Soil 10,112,107,102,DEAD
0110S10a,Soil 10a,112,107,102,DEAD
0110S10b,Soil 10b,112,107,102,DEAD
0110S23,Soil 23,112,107,102,DEAD
0110S23a,Soil 23a,112,107,102,DEAD
0110S23b,Soil 23b,112,107,102,DEAD
0170ATD,Aughty drained,112,107,102,LIVE
0170GN,Garrynamona,112,107,102,LIVE
0170S11,Soil 11,112,107,102,DEAD
0170S11a,Soil 11a,112,107,102,DEAD
0170S11b,Soil 11b,112,107,102,DEAD
0170S22,Soil 22,112,107,102,DEAD
0170S22a,Soil 22a,112,107,102,DEAD
0180ATC,Aughty cutover,112,107,102,LIVE
0180GA,Garrymona,112,107,102,DEAD
0180GM,Gortnamona,112,107,102,LIVE
0180GYC,Glenamoy Cutover,112,107,102,DEAD
0180S12,Soil 12,112,107,102,DEAD
0180TB,Turbary,112,107,102,LIVE
0190CS,Clonsast,112,107,102,LIVE
0210KR,Kilbarry,112,107,102,LIVE
0210PT,Pollardstown,112,107,102,LIVE
0270AD,Ardrum,112,107,102,DEAD
0270BR,Banagher,112,107,102,LIVE
0270BRD,Banagher deep phase,112,107,102,DEAD
0270BRS,Banagher shallow phase,112,107,102,DEAD
0270S30,Soil 30,112,107,102,DEAD
0300BD,Ballydeloughy,255,255,0,LIVE
0300CY,Carney,255,255,0,DEAD
0300NR1,NR1,255,255,0,DEAD
0300S17,Soil 17,255,255,0,DEAD
0300S18,Soil 18,255,255,0,DEAD
0300SE,Seafield,255,255,0,LIVE
0310CL,Castletaylor,255,255,0,LIVE
0360BU,Burren,255,255,0,LIVE
0360BUD,Burren deeper phase,255,255,0,DEAD
0360BUR,Burren rocky phase,255,255,0,DEAD
0360BUV,Burren very rocky phase,255,255,0,DEAD
0360BUX,Burren Extremely Rocky Phase,255,255,0,DEAD
0360CS,Crush,255,255,0,LIVE
0360KC,Kilcolgan,255,255,0,DEAD
0360KCB,Kilcolgan bouldery phase,255,255,0,DEAD
0360RE,Rakestreet,255,255,0,DEAD
0400AH,Altahalla,153,51,0,LIVE
0400CC,Cappacorcoge,153,51,0,LIVE
0400CT,Castletown,153,51,0,LIVE
0400FG,Figar,153,51,0,LIVE
0400GL,Glenlane,153,51,0,LIVE
0400ROR,Ross Carbery Rocky phase,153,51,0,DEAD
0400UN01,UNnamed_01,153,51,0,dead
0400UN105,Unnamed_105,153,51,0,DEAD
0400UN106,Unnamed_106,153,51,0,DEAD
0400UN107,Unnamed_107,153,51,0,DEAD
0400UN108,Unnamed_108,153,51,0,DEAD
0410BA,Bantry,153,51,0,LIVE
0410BT,Ballintroohan,153,51,0,LIVE
0410CV,Carrigvahanagh,153,51,0,LIVE
0410S20,Soil 20,153,51,0,DEAD
0410S20a,Soil 20a,153,51,0,DEAD
0460AH,UNnamed_02,153,51,0,DEAD
0460CP,Crumpaun,153,51,0,DEAD
0460KK,Kilkieran,153,51,0,LIVE
0460KW,Knockshigowna,153,51,0,LIVE
0460KY,Knockeyon,153,51,0,LIVE
0460RN,Rineanna,153,51,0,LIVE
0460SHR,Schull Rocky phase,153,51,0,DEAD
0460SR,Slievereagh,153,51,0,DEAD
0500BO,Boyne,0,204,255,LIVE
