National_Series_Id,National_Series,Modern_Definition,Texture,Substrate_Type,Substrate_1,Substrate_2,Subgroup_Name,GreatGroup_Name,Red_Value,Green_Value,Blue_Value,PhotoArray,Live,Modern_Correlative_Code,Modern_Correlative_Name,RepProfileCount,series_id
0110AE,Allen,Peat (Raised Bog {moss}),Peat,Peat,Peat,Raised Bog {moss},Natural Ombrotrophic Peat Soils,Ombrotrophic,112,107,102,[],LIVE,0110AE,Allen,1,0110AE
0110AT,Aughty,Peat (Blanket Bog),Peat,Peat,Peat,Blanket Bog,Natural Ombrotrophic Peat Soils,Ombrotrophic,112,107,102,[],LIVE,0110AT,Aughty,1,0110AT
0110KM,Knockmealdown,Peat over rock,Peat,over rock,bedrock,,Natural Ombrotrophic Peat Soils,Ombrotrophic,112,107,102,[],LIVE,0110KM,Knockmealdown,1,0110KM
0170ATD,Aughty drained,Peat (Blanket Bog),Peat,Peat,Peat,Blanket Bog,Drained Ombrotrophic Peat Soils,Ombrotrophic,112,107,102,"['RPV75BR01_P1030201.JPG', 'RPV75BR01_P1030205.JPG']",LIVE,0170ATD,Aughty drained,1,0170ATD
0170GN,Garrynamona,Peat (Raised Bog),Peat,Peat,Peat,Raised Bog,Drained Ombrotrophic Peat Soils,Ombrotrophic,112,107,102,[],LIVE,0170GN,Garrynamona,1,0170GN
0180ATC,Aughty cutover,Peat (Blanket Bog),Peat,Peat,Peat,Blanket Bog,Cut-over Ombrotrophic Peat Soils,Ombrotrophic,112,107,102,"['RPV86GJ01_DSCN1000.JPG', 'RPV86GJ01_DSCN1012.JPG']",LIVE,0180ATC,Aughty cutover,1,0180ATC
0180GM,Gortnamona,Peat (Raised Bog),Peat,Peat,Peat,Raised Bog,Cut-over Ombrotrophic Peat Soils,Ombrotrophic,112,107,102,[],LIVE,0180GM,Gortnamona,1,0180GM
0180TB,Turbary,"Peat (Raised Bog, undrained, hand-cut)",Peat,Peat,Peat,"Raised Bog, undrained, hand-cut",Cut-over Ombrotrophic Peat Soils,Ombrotrophic,112,107,102,[],LIVE,0180TB,Turbary,1,0180TB
0190CS,Clonsast,"Peat (Raised Bog, Industrial milled and machined)",Peat,Peat,Peat,"Raised Bog, Industrial milled and machined",Industrial Ombrotrophic Peat Soils,Ombrotrophic,112,107,102,[],LIVE,0190CS,Clonsast,0,0190CS
0210KR,Kilbarry,Peat over river alluvium,Peat,over river alluvium,alluvium,river,Natural Minerotrophic Peat Soils,Minerotrophic,112,107,102,[],LIVE,0210KR,Kilbarry,1,0210KR
0210PT,Pollardstown,"Peat (Fen, undrained)",Peat,Peat,Peat,"Fen, undrained",Natural Minerotrophic Peat Soils,Minerotrophic,112,107,102,[],LIVE,0210PT,Pollardstown,1,0210PT
0270BR,Banagher,Peat (Fen),Peat,Peat,Peat,Fen,Drained Minerotrophic Peat Soils,Minerotrophic,112,107,102,"['RPH80BR01_P1020985.JPG', 'RPH80BR01_P1020992.JPG']",LIVE,0270BR,Banagher,1,0270BR
0300BD,Ballydeloughy,Loamy over limestone bedrock,Loamy,over limestone bedrock,bedrock,limestone,Typical Rendzinas,Rendzina,255,255,0,"['RPR70BR01_P1100239.JPG', 'RPR70BR01_P1100243.JPG']",LIVE,0300BD,Ballydeloughy,1,0300BD
0300SE,Seafield,Sandy stoneless drift,Sandy,stoneless  drift ,drift,stoneless,Typical Rendzinas,Rendzina,255,255,0,[],LIVE,0300SE,Seafield,1,0300SE
