PRID,PDID,STAT,SAYR,LABO,LATI,LNGI,LCST,ELEV,LUSE1,LUSE2,LUSE3,VEGE1,VEGE2,VEGE3,LITHL,LITH1,LITH2,LITH3,LITH4,LITH5,DRAI,WRBC,WRBP1,WRBP2,WRBP3,WRBS1,WRBS2,WRBS3,WRBV,CLAF,CLAN,STAX,STXV
CZ0201/512,EU025,2,1989-02-06,CZ001,49.795650482177734,14.50879955291748,1,455.0,A,AP,,C,CA,,SL3,C,CS,,,,W,CM,dy,hi,,co,ce,,2015,CM,ranker,-,
CZ0201/513,EU025,2,1989-02-06,CZ001,49.748199462890625,14.88755989074707,4,389.0,A,AA,AA4,E,EB,,MA2,C,CS,,,,I,CM,dy,le,,lo,,,2015,AL,kambizem,,
CZ0203/KL33,EU025,2,1989-02-06,CZ002,50.26110076904297,13.94713020324707,4,320.0,A,AA,AA4,E,EB,,SA1,C,CS,CSA,CSAM,CSAM1,W,CM,cr,dy,,ce,,,2015,CM,kambizem,,
CZ0205/242,EU025,2,1989-02-06,CZ001,49.923561096191406,15.231340408325195,4,355.0,A,AA,AA4,D,DA,DA02,UT2E,C,CC,,,,W,LV,cr,,,sl,,,2015,LV,hnedozem,,
CZ0317/TA19,EU025,2,1989-02-06,CZ002,49.39400100708008,14.51084041595459,2,505.0,A,AA,AA4,E,EB,EB02,MA2,C,CC,CCI,,,W,CM,le,,,eu,,,2015,CM,kambizem,,
CZ0317/TA23,EU025,2,1989-02-06,CZ002,49.42287063598633,14.595999717712402,4,475.0,A,AA,AA4,E,ED,,PA1,S,SS,,,,S,CM,fl,,,eu,,,2015,CM,kambizem,,
CZ0322/KT03,EU025,2,1989-02-06,CZ002,49.496490478515625,13.282509803771973,4,376.0,A,AP,AP1,B,BB,,UT2E,X,XX,XXX,,,M,LV,dy,gl,,Siltic,,,2015,LV,hnedozem,,
CZ0325/105,EU025,2,1989-02-06,CZ001,49.969940185546875,13.440119743347168,1,435.0,A,AA,AA4,B,BB,,UT2E,U,UC,,,,W,LV,ca,eu,,ar,,,2015,LV,hnedozem,,
CZ0325/109,EU025,2,1989-02-06,CZ001,49.98094177246094,13.397899627685547,3,590.0,A,AA,AA2,E,EC,EC05,S,C,CC,CCI,,,M,LV,fo,dy,,ce,,,2015,LV,kambizem,,
CZ0325/90,EU025,2,1989-02-06,CZ001,49.940528869628906,13.03456974029541,2,500.0,U,AA,,C,CB,,U,U,UC,,,,I,FL,ca,gl,st,hu,,,2015,FL,fluvizem,,
CZ0325/PS12,EU025,2,1989-02-06,CZ002,49.760990142822266,13.480050086975098,4,340.0,A,AA,AA4,A,AA,,U,C,CC,,,,W,RT,eu,gl,,ce,hu,,2015,PD,luvizem,,
CZ0325/PS32,EU025,3,1989-02-06,CZ002,50.2,14.2,4,600.0,H,HI,HI2,E,,,S,,,,,,,CM,do,,,co,,,2015,AL,kambizem,,
CZ0326/668,EU025,2,1989-02-06,CZ001,49.77177810668945,13.62360954284668,4,418.0,A,AA,AA4,B,,,SL3,U,UC,,,,E,CM,gl,eu,,lo,,,2015,CM,kambizem,,
CZ0326/RO07,EU025,2,1989-02-06,CZ002,49.850990295410156,13.745880126953125,4,535.0,A,AA,AA4,F,,,U,C,CC,,,,W,LV,le,gl,,lo,,,2015,PD,luvizem,,
CZ0326/RO19,EU025,2,1989-02-06,CZ002,49.89142990112305,13.650870323181152,4,436.0,A,AA,AA3,E,EC,,SL3,C,CC,,,,W,CM,fc,fo,,lo,oh,,2015,CM,kambizem,,
CZ0326/RO23,EU025,2,1989-02-06,CZ002,49.8915901184082,13.700019836425781,4,444.0,A,AA,,D,DA,,V,U,US,,,,S,CM,dy,le,,go,,,2015,CM,kambizem,,
CZ0326/RO31,EU025,2,1989-02-06,CZ002,49.66228103637695,13.641059875488281,4,540.0,A,AA,,A,AA,,SL3,U,US,,,,S,CM,dy,hi,,sl,,,2015,AL,kambizem,,
CZ0327/252,EU025,2,1989-02-06,CZ001,49.875850677490234,12.749549865722656,4,500.0,A,AA,AA4,A,,,PA1,U,US,,,,W,CM,fc,dy,,ce,,,2015,CM,kambizem,,
CZ0327/258,EU025,2,1989-02-06,CZ001,49.726959228515625,12.57843017578125,2,600.0,A,AA,,A,,,MA2,U,,,,,W,AL,fc,gl,,ct,ar,,2015,AL,kambizem,,
CZ0327/263,EU025,2,1989-02-06,CZ001,49.78818130493164,12.805359840393066,3,550.0,A,AT,AT1,A,AA,,MA3,C,CC,,,,S,CM,dy,aq,,lo,hu,,2015,CM,kambizem,,
CZ0327/270,EU025,2,1989-02-06,CZ001,49.78097152709961,12.980669975280762,4,460.0,H,HI,HI2,E,EB,EB03,S,C,CC,,,,M,CM,gl,cr,,lo,,,2015,CM,kambizem,,
CZ0327/278,EU025,2,1989-02-06,CZ001,49.756771087646484,12.90602970123291,4,480.0,A,AA,,B,,,SL3,U,UG,,,,E,CM,gp,,,ce,,,2015,CM,kambizem,,
CZ0327/TC11,EU025,2,1989-02-06,CZ002,49.8330192565918,12.586669921875,4,610.0,A,AT,AT1,A,AA,,MA2,U,UC,,,,W,CM,fc,,,ar,,,2006,CM,kambizem,,
CZ0327/TC19,EU025,2,1989-02-06,CZ002,49.91236114501953,12.95518970489502,,560.0,A,,,,,,MA3,,,,,,,CM,gl,dy,,ce,,,2015,CM,kambizem,,
CZ0327/TC31,EU025,2,1989-02-06,CZ002,49.75775909423828,12.72898006439209,4,485.0,A,AA,AA4,E,EB,,PA1,C,CS,CSA,CSAM,CSAM1,W,CM,,,,eu,,,2006,LV,kambizem,,2019.0
CZ0411/699,EU025,2,1989-02-06,CZ001,49.92409896850586,12.628029823303223,4,652.0,A,AP,AP1,B,BB,,MA2,U,UC,,,,I,CM,,,,dy,,,2015,CM,kambizem,,2019.0
