radio,mcc,mnc,lac_tac,cid,psc_pci,lon,lat,range,samples,changeable,created,updated,avg_signal,operator,tech
GSM,272,1,1101,22370,-1,-8.5096,52.7487,1000,2,1,1741325932,1741463402,0,Vodafone,2G
GSM,272,3,1025,6133,-1,-8.5097,52.7488,1000,1,1,1741967820,1741967820,0,Eir,2G
LTE,272,1,51101,25627649,-1,-8.4988,52.7474,1000,4,1,1741340811,1741463402,0,Vodafone,4G
LTE,272,1,51101,25863170,-1,-8.4995,52.7467,1000,1,1,1741342000,1741342000,0,Vodafone,4G
LTE,272,1,51101,25863171,-1,-8.4995,52.7467,1000,1,1,1741342127,1741342127,0,Vodafone,4G
LTE,272,1,51101,25863180,-1,-8.6905,52.6582,1000,1,1,1741437615,1741437615,0,Vodafone,4G
LTE,272,1,51101,56333128,-1,-8.4995,52.7467,1000,1,1,1741341232,1741341232,0,Vodafone,4G
LTE,272,1,51101,56409149,-1,-8.4995,52.7467,1000,1,1,1741341546,1741341546,0,Vodafone,4G
LTE,272,1,51101,56409151,-1,-8.4995,52.7467,1000,1,1,1741341644,1741341644,0,Vodafone,4G
LTE,272,1,51101,56488451,-1,-8.5091,52.7487,1000,19,1,1741075324,1741463402,0,Vodafone,4G
LTE,272,1,51101,56488521,-1,-8.5095,52.7487,1000,8,1,1741075264,1741463402,0,Vodafone,4G
LTE,272,1,51101,56519180,-1,-8.4995,52.7467,1000,1,1,1741341881,1741341881,0,Vodafone,4G
LTE,272,1,51101,56524291,-1,-8.4995,52.7467,1000,1,1,1741341297,1741341297,0,Vodafone,4G
LTE,272,1,51101,56565251,-1,-8.4995,52.7467,1000,1,1,1741341410,1741341410,0,Vodafone,4G
LTE,272,1,51101,56608839,-1,-8.4995,52.7467,1000,1,1,1741341470,1741341470,0,Vodafone,4G
LTE,272,1,51101,57630281,-1,-8.6837,52.6532,1000,1,1,1741437563,1741437563,0,Vodafone,4G
LTE,272,1,51102,25614920,-1,-8.6905,52.6582,1000,1,1,1741437816,1741437816,0,Vodafone,4G
LTE,272,1,51102,25640451,-1,-8.4995,52.7467,1000,1,1,1741342351,1741342351,0,Vodafone,4G
LTE,272,1,51102,25673729,-1,-8.4995,52.7467,1000,1,1,1741342146,1741342146,0,Vodafone,4G
LTE,272,1,51102,25673730,-1,-8.4995,52.7467,1000,1,1,1741342205,1741342205,0,Vodafone,4G
LTE,272,3,4004,10722817,-1,-8.4081,52.7606,3373,12,1,1694793599,1741095072,0,Eir,4G
LTE,272,3,4004,10722818,-1,-8.5177,52.7092,4415,2,1,1740841455,1744142581,0,Eir,4G
LTE,272,3,4004,10722888,-1,-8.5256,52.6698,1000,1,1,1740841440,1740841440,0,Eir,4G
