ID,COUNT,SLEEP,bat,temp,humi,PH,N,P,K,Time
soil02,3286,120,3.55,28.1,0.0,4.0,0,0,0,2026-06-24 14:12:23 
soil02,3287,120,3.55,27.9,0.0,4.0,0,0,0,2026-06-24 14:15:13 
soil02,3288,120,3.55,27.8,0.0,4.0,0,0,0,2026-06-24 14:18:03 
soil02,3297,120,3.55,27.2,0.0,4.0,0,0,0,2026-06-24 14:43:35 
soil02,3298,120,3.56,27.2,0.0,4.0,0,0,0,2026-06-24 14:46:25 
soil02,3299,120,3.55,27.2,0.0,4.0,0,0,0,2026-06-24 14:49:15 
soil02,3300,120,3.55,27.1,0.0,4.0,0,0,0,2026-06-24 14:52:05 
soil02,3301,120,3.55,27.1,0.0,4.0,0,0,0,2026-06-24 14:54:55 
soil02,3302,120,3.55,27.0,0.0,4.0,0,0,0,2026-06-24 14:57:45 
soil02,3303,120,3.55,27.0,0.0,4.0,0,0,0,2026-06-24 15:00:36 
soil02,3304,120,3.56,27.0,0.0,4.0,0,0,0,2026-06-24 15:03:26 
soil02,3305,120,3.56,27.0,0.0,4.0,0,0,0,2026-06-24 15:06:16 
soil02,3306,120,3.56,27.0,0.0,4.0,0,0,0,2026-06-24 15:09:06 
soil02,3308,120,3.56,26.9,0.0,4.0,0,0,0,2026-06-24 15:14:46 
soil02,3309,120,3.56,26.9,0.0,4.0,0,0,0,2026-06-24 15:17:37 
soil02,3310,120,3.55,26.9,0.0,4.0,0,0,0,2026-06-24 15:20:27 
soil02,3311,120,3.55,26.9,0.0,4.0,0,0,0,2026-06-24 15:23:17 
soil02,3312,120,3.55,26.8,0.0,4.0,0,0,0,2026-06-24 15:26:07 
soil02,3313,120,3.56,26.8,0.0,4.0,0,0,0,2026-06-24 15:28:57 
soil02,3314,120,3.55,26.2,80.3,6.3,23,31,79,2026-06-24 15:31:48 
soil02,3315,120,3.55,26.1,94.2,6.6,23,31,79,2026-06-24 15:34:38 
soil02,3316,120,3.55,26.0,96.0,6.9,23,31,79,2026-06-24 15:37:28 
